CANONICAL_ID,VIEWPORT,REFERENCE_FILE,IMPLEMENTATION_FILE,SIDE_BY_SIDE_FILE,DIFF_FILE,REFERENCE_SHA256_16,IMPLEMENTATION_SHA256_16,DRIVE_FILE_ID,DRIVE_FOLDER,READBACK_STATUS
1p,tablet-landscape,references/1p__tablet-landscape__reference.png,implementations/1p__tablet-landscape__implementation.png,side-by-side/1p__tablet-landscape__side-by-side.png,diff/1p__tablet-landscape__diff.png,b74f6b03f057c2e4,50e67d4245884cc0,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1q,mobile,references/1q__mobile__reference.png,implementations/1q__mobile__implementation.png,side-by-side/1q__mobile__side-by-side.png,diff/1q__mobile__diff.png,3cf9186def6ff57d,5e642925bdcf43b6,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1q,tablet-portrait,references/1q__tablet-portrait__reference.png,implementations/1q__tablet-portrait__implementation.png,side-by-side/1q__tablet-portrait__side-by-side.png,diff/1q__tablet-portrait__diff.png,db3053182da1a2e1,f854eb2d8397a1c4,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1q,tablet-landscape,references/1q__tablet-landscape__reference.png,implementations/1q__tablet-landscape__implementation.png,side-by-side/1q__tablet-landscape__side-by-side.png,diff/1q__tablet-landscape__diff.png,54f3b68b52d7d1f1,5fae554b5b4334ea,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1r,mobile,references/1r__mobile__reference.png,implementations/1r__mobile__implementation.png,side-by-side/1r__mobile__side-by-side.png,diff/1r__mobile__diff.png,f47caf3b5f6401a3,fea89cd21b26c988,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1r,tablet-portrait,references/1r__tablet-portrait__reference.png,implementations/1r__tablet-portrait__implementation.png,side-by-side/1r__tablet-portrait__side-by-side.png,diff/1r__tablet-portrait__diff.png,7230af6742ec4dd1,ca9a5faef2276a9a,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1r,tablet-landscape,references/1r__tablet-landscape__reference.png,implementations/1r__tablet-landscape__implementation.png,side-by-side/1r__tablet-landscape__side-by-side.png,diff/1r__tablet-landscape__diff.png,a0d4e65352974f0d,6e44d126d62fe619,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1s,mobile,references/1s__mobile__reference.png,implementations/1s__mobile__implementation.png,side-by-side/1s__mobile__side-by-side.png,diff/1s__mobile__diff.png,aba413d911d14e13,8d0af5e1f0dc1cc4,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1s,tablet-portrait,references/1s__tablet-portrait__reference.png,implementations/1s__tablet-portrait__implementation.png,side-by-side/1s__tablet-portrait__side-by-side.png,diff/1s__tablet-portrait__diff.png,2ed3dc92c7874970,e36c5f9d08a7431e,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1s,tablet-landscape,references/1s__tablet-landscape__reference.png,implementations/1s__tablet-landscape__implementation.png,side-by-side/1s__tablet-landscape__side-by-side.png,diff/1s__tablet-landscape__diff.png,46085d2dcfd60636,c486288d4f0d3b85,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
